species,study_block,diet_name,Dieta,Tratamiento,Replica,byproduct_type,inclusion_pct,water_condition,processing,Proteína (%)_media,Proteína (%)_sd,Grasa (%)_media,Grasa (%)_sd,Fibra (%)_media,Fibra (%)_sd,Cenizas (%)_media,Cenizas (%)_sd,Carbohidratos (%)_media,Carbohidratos (%)_sd,ratio_P_C,ratio_P_F,ratio_Fibra_Grasa,TPC_dieta_media,TPC_dieta_sd,TPC_larva_media,TPC_larva_sd,FCR,Ganancia de peso (mg) por larva,Ganancia de peso (mg) media diaria por larva,Reducción (%) del sustrato (reducción de la masa de dieta suministrada),Reducción diaria (%) del sustrato (reducción diaria de la masa de dieta suministrada),Peso total de las larvas (g) al finalizar el periodo de alimentación,Peso total del sustrato (g) al finalizar el periodo de alimentación,PROTEINA (%),GRASA (%),QUITINA (%),CENIZAS (%),CARBOHIDRATOS (%),TPC_dieta_media__dup1,TPC_dieta_sd__dup1,TPC_larva_media__dup1,TPC_larva_sd__dup1,Tratamiento_prod,Dieta_comp_prod,Trat_comp_prod,Tratamiento_larv,Dieta_comp_larv,Trat_comp_larv,Dieta_comp,Trat_comp
Hermetia,main,Control,Control,0,1,control,0,none,none,18.175156078827623,0.43543944232554566,2.7660179444561863,0.02960420794935222,2.513073808807695,0.0935246286660891,22.034335858419862,0.09653028261186121,54.51141630948863,0.5478149891299905,0.333419259841611,6.570874247311131,0.9085529664926951,0.18041642963591564,0.01204558359796769,0.43284278291161793,0.0311348844474246,1.767203629937785,138.77,11.5641666666667,57.67386326926048,4.806155272438374,1544.0,1884.4377527499646,32.29822786111878,7.8569940309375434,4.536508071410124,24.085233174995032,31.223036861538517,0.18041642963591564,0.01204558359796769,0.43284278291161793,0.0311348844474246,,,,,,,,
Hermetia,main,Control,Control,0,2,control,0,none,none,18.175156078827623,0.43543944232554566,2.7660179444561863,0.02960420794935222,2.513073808807695,0.0935246286660891,22.034335858419862,0.09653028261186121,54.51141630948863,0.5478149891299905,0.333419259841611,6.570874247311131,0.9085529664926951,0.18041642963591564,0.01204558359796769,0.43284278291161793,0.0311348844474246,1.6118450602258798,168.14,14.011666666666665,68.67239363196563,5.722699469330469,1983.5,1391.5672802098509,31.9882734211747,9.178855877108408,3.18854800080773,23.8053223911033,31.83900030980587,0.18041642963591564,0.01204558359796769,0.43284278291161793,0.0311348844474246,,,,,,,,
Hermetia,main,Control,Control,0,3,control,0,none,none,18.175156078827623,0.43543944232554566,2.7660179444561863,0.02960420794935222,2.513073808807695,0.0935246286660891,22.034335858419862,0.09653028261186121,54.51141630948863,0.5478149891299905,0.333419259841611,6.570874247311131,0.9085529664926951,0.18041642963591564,0.01204558359796769,0.43284278291161793,0.0311348844474246,1.4697970079568305,163.2,13.6,69.97696831199896,5.831414025999913,2207.5,1334.6735480606771,31.522016623432535,17.458388083092157,4.024694813230045,22.767007255663074,24.22789322458219,0.18041642963591564,0.01204558359796769,0.43284278291161793,0.0311348844474246,,,,,,,,
Hermetia,main,Hoja15,Hoja15,1,1,hoja,15,none,none,16.838123485650616,0.25804689222305743,2.6502742093231593,0.023623966453506326,3.7022907909892706,0.18116334654242983,19.29402821359632,0.08150877955439104,57.515283300440636,0.043625070940696106,0.29275911582829006,6.353351448094431,1.3969463152021468,0.9034100243494326,0.10058273252007106,0.35837627702542174,0.01735137507141395,1.9330479657441144,113.42,9.451666666666666,70.54440262088956,5.878700218407463,1739.5,1330.5673330280015,32.439876828877715,8.138715505395,10.804603527521897,25.394842618555927,23.221961519649454,0.9034100243494326,0.10058273252007106,0.35837627702542174,0.01735137507141395,,,,,,,,
Hermetia,main,Hoja15,Hoja15,1,2,hoja,15,none,none,16.838123485650616,0.25804689222305743,2.6502742093231593,0.023623966453506326,3.7022907909892706,0.18116334654242983,19.29402821359632,0.08150877955439104,57.515283300440636,0.043625070940696106,0.29275911582829006,6.353351448094431,1.3969463152021468,0.9034100243494326,0.10058273252007106,0.35837627702542174,0.01735137507141395,1.3713717915066095,146.5,12.208333333333334,76.30205270171002,6.358504391809169,2602.5,1069.7022324140007,31.861332823005377,9.794865694681787,7.392562817111232,26.81079948670885,24.140439178492755,0.9034100243494326,0.10058273252007106,0.35837627702542174,0.01735137507141395,,,,,,,,
Hermetia,main,Hoja15,Hoja15,1,3,hoja,15,none,none,16.838123485650616,0.25804689222305743,2.6502742093231593,0.023623966453506326,3.7022907909892706,0.18116334654242983,19.29402821359632,0.08150877955439104,57.515283300440636,0.043625070940696106,0.29275911582829006,6.353351448094431,1.3969463152021468,0.9034100243494326,0.10058273252007106,0.35837627702542174,0.01735137507141395,1.5190653053105272,163.01999999999998,13.584999999999999,66.22016417734547,5.518347014778789,2067.5,1531.5830267716492,29.950143361921622,6.741498938094087,9.697131345288998,26.60839879291672,27.002827561778574,0.9034100243494326,0.10058273252007106,0.35837627702542174,0.01735137507141395,,,,,,,,
Hermetia,main,Hoja30,Hoja30,2,1,hoja,30,none,none,15.137501848365227,0.23808986320009382,2.6227291341426135,0.11327770488901004,5.2236458880007035,0.11735312771129446,16.872465816948363,0.1909693996174449,60.14365731254308,0.30566814733955067,0.25168908118941863,5.77166038662005,1.9916833271112253,1.616542260931662,0.05015289190988306,0.44270476954145876,0.04699661263989746,1.8785048672248885,79.03999999999999,6.586666666666666,56.155459286966945,4.679621607247245,1457.5,2004.2205099404277,24.518904936914268,19.601502300248562,10.359710240329822,21.445639196031877,24.074243326475468,1.616542260931662,0.05015289190988306,0.44270476954145876,0.04699661263989746,,,,,,,,
Hermetia,main,Hoja30,Hoja30,2,2,hoja,30,none,none,15.137501848365227,0.23808986320009382,2.6227291341426135,0.11327770488901004,5.2236458880007035,0.11735312771129446,16.872465816948363,0.1909693996174449,60.14365731254308,0.30566814733955067,0.25168908118941863,5.77166038662005,1.9916833271112253,1.616542260931662,0.05015289190988306,0.44270476954145876,0.04699661263989746,1.6775685816271482,78.06,6.505,48.03569418987678,4.002974515823065,1395.5,2367.3661084635805,23.472591934148408,24.63506261399942,10.516834458171735,19.906843470819133,21.468667522861296,1.616542260931662,0.05015289190988306,0.44270476954145876,0.04699661263989746,,,,,,,,
Hermetia,main,Hoja30,Hoja30,2,3,hoja,30,none,none,15.137501848365227,0.23808986320009382,2.6227291341426135,0.11327770488901004,5.2236458880007035,0.11735312771129446,16.872465816948363,0.1909693996174449,60.14365731254308,0.30566814733955067,0.25168908118941863,5.77166038662005,1.9916833271112253,1.616542260931662,0.05015289190988306,0.44270476954145876,0.04699661263989746,1.714386143270116,75.69,6.3075,46.977999544856374,3.914833295404698,1340.0,2416.7552791317644,25.260478611312173,19.434268510943298,8.357394205947955,19.245782780160432,27.70207589163614,1.616542260931662,0.05015289190988306,0.44270476954145876,0.04699661263989746,,,,,,,,
Hermetia,main,Hoja50,Hoja50,3,1,hoja,50,none,none,13.511367889574666,0.19193321187865348,2.931320751170547,0.041274442203307025,7.77300881328658,0.19748936955887736,14.292793327531937,0.16302941822839098,61.49150921843627,0.2118036838143485,0.21972737474336884,4.609310627020005,2.6517087255574574,2.484336499057168,0.3435995093582646,0.31178973627940126,0.020487450403836874,1.983659876050393,49.89,4.1575,40.13567118077281,3.344639265064401,1020.0,2748.656760352735,22.677020960046544,17.48849265160683,12.158452165074989,20.78988508746484,26.88614913580679,2.484336499057168,0.3435995093582646,0.31178973627940126,0.020487450403836874,,,,,,,,
